client_id,sexe,age,situation_familiale,nombre_enfants,niveau_etude,secteur_activite,revenu_mensuel,montant_pret,duree_pret,taux_interet,but_du_pret,historique_defaut,remboursement_pret_prec,score_credit,zone_residentielle,contact_telephone,co_emprunteur,delai_remboursement
37,M,24,Célibataire,4,Primaire,Services,116629,309334,6,15.6,Stock,Non,Non,63,Rurale,Oui,Non,Oui
38,M,38,Célibataire,1,Secondaire,Commerce,136067,565943,12,6.9,Achat équipement,Non,Oui,76,Urbaine,Oui,Oui,Oui
39,F,59,Célibataire,1,Supérieur,Commerce,117185,484049,12,9.7,Urgence,Oui,Oui,76,Rurale,Oui,Non,Non
40,M,43,Marié(e),0,Primaire,Agriculture,139882,580483,18,7.7,Urgence,Non,Oui,70,Urbaine,Oui,Oui,Oui
41,M,61,Marié(e),0,Supérieur,Agriculture,162762,384581,24,15.8,Achat équipement,Non,Oui,76,Rurale,Non,Oui,Oui
42,M,31,Veuf/veuve,0,Supérieur,Commerce,241745,233582,6,16.1,Achat équipement,Non,Aucun,72,Rurale,Oui,Non,Oui
43,M,54,Marié(e),2,Secondaire,Agriculture,182485,504657,18,9.5,Urgence,Non,Aucun,57,Rurale,Oui,Oui,Oui
44,F,38,Marié(e),1,Primaire,Agriculture,102941,210300,12,8.6,Stock,Non,Aucun,64,Rurale,Non,Oui,Oui
45,M,35,Célibataire,1,Aucun,Agriculture,95882,140625,6,14.9,Stock,Non,Non,48,Rurale,Oui,Oui,Non
46,F,22,Marié(e),3,Aucun,Agriculture,155040,438458,6,16.4,Capital démarrage,Non,Oui,87,Rurale,Oui,Non,Oui
47,M,20,Marié(e),3,Secondaire,Commerce,230064,401425,18,12.9,Urgence,Non,Aucun,46,Rurale,Oui,Oui,Non
48,M,40,Célibataire,2,Primaire,Commerce,264178,533421,12,17.0,Achat équipement,Non,Oui,33,Urbaine,Oui,Non,Non
49,M,43,Célibataire,0,Aucun,Agriculture,84554,579058,24,9.7,Achat équipement,Oui,Aucun,95,Urbaine,Oui,Non,Non
50,M,54,Célibataire,2,Primaire,Agriculture,202341,521458,12,6.6,Achat équipement,Non,Aucun,63,Rurale,Oui,Non,Oui
51,F,41,Célibataire,1,Aucun,Commerce,155887,83011,6,6.9,Achat équipement,Non,Non,78,Rurale,Oui,Non,Oui
52,F,66,Marié(e),0,Secondaire,Agriculture,160546,415482,18,13.5,Urgence,Oui,Oui,75,Rurale,Oui,Non,Non
53,F,36,Célibataire,0,Aucun,Commerce,116145,481602,24,10.0,Stock,Non,Aucun,80,Rurale,Oui,Non,Oui
54,F,68,Marié(e),0,Secondaire,Artisanat,166796,590060,18,6.6,Capital démarrage,Non,Aucun,73,Urbaine,Oui,Oui,Oui
55,F,42,Veuf/veuve,1,Secondaire,Agriculture,113449,256063,18,8.4,Stock,Oui,Aucun,73,Rurale,Oui,Oui,Non
56,F,38,Marié(e),0,Aucun,Artisanat,164048,143434,12,11.7,Capital démarrage,Oui,Oui,30,Rurale,Oui,Non,Non
57,M,29,Divorcé(e),0,Primaire,Artisanat,248895,519113,6,6.1,Achat équipement,Non,Oui,50,Rurale,Oui,Non,Oui
58,M,58,Marié(e),0,Secondaire,Agriculture,217874,224606,12,4.5,Achat équipement,Non,Oui,30,Rurale,Oui,Non,Non
59,M,50,Marié(e),0,Primaire,Agriculture,294825,379011,12,16.9,Urgence,Non,Oui,52,Rurale,Oui,Oui,Oui
60,M,67,Divorcé(e),1,Aucun,Services,211581,264442,24,8.6,Achat équipement,Oui,Oui,57,Urbaine,Oui,Oui,Non
61,M,21,Célibataire,2,Primaire,Agriculture,190471,271279,18,7.5,Urgence,Oui,Aucun,63,Rurale,Non,Non,Non
62,M,59,Divorcé(e),1,Primaire,Artisanat,213173,452855,18,13.9,Urgence,Non,Oui,50,Rurale,Oui,Non,Oui
63,F,24,Célibataire,0,Primaire,Commerce,133452,248811,12,16.0,Urgence,Non,Non,59,Rurale,Oui,Non,Oui
64,M,39,Marié(e),0,Aucun,Agriculture,54838,431191,18,13.0,Achat équipement,Non,Oui,57,Rurale,Oui,Non,Non
65,M,50,Célibataire,1,Primaire,Agriculture,227770,57880,18,7.9,Achat équipement,Non,Oui,70,Rurale,Non,Non,Oui
66,M,34,Marié(e),1,Primaire,Commerce,72280,228556,12,16.1,Stock,Non,Aucun,76,Rurale,Non,Non,Oui
67,M,41,Marié(e),1,Secondaire,Commerce,247296,225474,12,11.4,Capital démarrage,Non,Aucun,68,Rurale,Non,Non,Oui
68,F,51,Marié(e),1,Primaire,Commerce,225048,461859,18,9.6,Stock,Oui,Oui,74,Rurale,Non,Non,Non
69,M,45,Marié(e),0,Secondaire,Services,129028,223006,12,12.7,Achat équipement,Oui,Oui,67,Urbaine,Oui,Oui,Non
70,F,60,Marié(e),0,Primaire,Artisanat,153834,398329,24,14.0,Capital démarrage,Non,Oui,82,Rurale,Oui,Non,Oui
71,F,58,Célibataire,0,Secondaire,Agriculture,179307,428688,12,12.5,Urgence,Oui,Oui,92,Rurale,Oui,Non,Non
72,M,56,Marié(e),2,Primaire,Artisanat,124669,412134,6,16.9,Capital démarrage,Non,Oui,30,Urbaine,Oui,Non,Non
73,M,39,Divorcé(e),3,Secondaire,Artisanat,212431,381811,12,13.0,Urgence,Non,Oui,81,Rurale,Oui,Oui,Oui
74,F,66,Marié(e),2,Primaire,Services,217720,277489,12,16.4,Achat équipement,Non,Aucun,45,Urbaine,Oui,Non,Non
75,F,34,Veuf/veuve,1,Secondaire,Commerce,93422,255317,12,12.4,Capital démarrage,Non,Oui,67,Urbaine,Oui,Non,Oui
76,F,51,Veuf/veuve,0,Primaire,Artisanat,130613,360521,6,9.0,Urgence,Non,Oui,68,Rurale,Oui,Non,Oui
77,F,23,Marié(e),2,Primaire,Commerce,177791,85036,24,11.7,Stock,Non,Non,74,Urbaine,Oui,Non,Oui
78,M,63,Marié(e),2,Primaire,Agriculture,248434,531700,18,5.7,Stock,Non,Aucun,64,Rurale,Oui,Oui,Oui
79,M,23,Célibataire,2,Secondaire,Services,219137,503923,6,7.6,Urgence,Non,Aucun,64,Rurale,Non,Oui,Oui
80,M,51,Célibataire,1,Secondaire,Agriculture,40144,240511,6,14.8,Stock,Non,Aucun,70,Urbaine,Oui,Oui,Oui
81,F,18,Célibataire,0,Primaire,Agriculture,162480,361750,12,13.4,Stock,Non,Oui,59,Rurale,Oui,Non,Oui
82,F,27,Marié(e),0,Secondaire,Artisanat,208360,562725,18,6.7,Capital démarrage,Oui,Oui,36,Urbaine,Oui,Oui,Non
83,M,38,Marié(e),0,Secondaire,Agriculture,132002,199400,12,10.4,Stock,Non,Aucun,64,Rurale,Non,Oui,Oui
84,M,22,Marié(e),0,Supérieur,Artisanat,127355,458350,6,6.4,Capital démarrage,Non,Aucun,53,Rurale,Oui,Non,Oui
85,M,19,Marié(e),0,Secondaire,Artisanat,135182,95502,12,16.1,Achat équipement,Non,Non,52,Rurale,Oui,Non,Oui
86,M,39,Marié(e),1,Secondaire,Agriculture,161521,337854,18,6.0,Stock,Oui,Oui,51,Rurale,Oui,Non,Non
87,F,65,Marié(e),1,Primaire,Commerce,121254,536183,12,13.3,Achat équipement,Oui,Oui,35,Rurale,Oui,Non,Non
88,F,19,Marié(e),2,Secondaire,Artisanat,219595,353440,18,12.7,Stock,Non,Aucun,59,Rurale,Oui,Oui,Oui
89,F,27,Célibataire,3,Primaire,Commerce,128357,388939,24,10.9,Urgence,Oui,Oui,65,Urbaine,Oui,Non,Non
90,M,51,Célibataire,2,Supérieur,Services,117830,549201,6,8.3,Urgence,Non,Non,76,Rurale,Oui,Non,Oui
91,M,33,Marié(e),0,Aucun,Artisanat,156078,443448,12,10.0,Achat équipement,Non,Aucun,56,Rurale,Oui,Oui,Oui
92,F,65,Marié(e),2,Aucun,Agriculture,268734,432728,6,15.4,Achat équipement,Non,Aucun,88,Rurale,Oui,Non,Oui
93,F,68,Marié(e),0,Aucun,Agriculture,211516,372511,12,14.8,Achat équipement,Oui,Oui,73,Rurale,Non,Non,Non
94,F,56,Marié(e),2,Secondaire,Services,215331,398143,6,14.5,Urgence,Oui,Oui,48,Rurale,Oui,Non,Non
95,F,39,Marié(e),1,Supérieur,Commerce,197175,492037,12,14.6,Achat équipement,Non,Oui,57,Rurale,Oui,Oui,Oui
96,M,29,Célibataire,2,Aucun,Agriculture,123181,588578,18,6.4,Urgence,Non,Non,95,Urbaine,Oui,Non,Oui
97,M,41,Célibataire,2,Secondaire,Artisanat,141596,487428,12,5.8,Achat équipement,Non,Oui,76,Urbaine,Oui,Non,Oui
98,M,64,Marié(e),0,Secondaire,Artisanat,131400,439145,12,16.1,Capital démarrage,Non,Oui,57,Urbaine,Oui,Oui,Oui
99,M,57,Marié(e),1,Secondaire,Commerce,245493,124549,6,15.8,Capital démarrage,Non,Oui,78,Urbaine,Oui,Non,Oui
100,M,55,Marié(e),0,Primaire,Commerce,197720,499394,12,13.7,Stock,Oui,Oui,46,Urbaine,Non,Non,Non
101,M,27,Veuf/veuve,1,Secondaire,Commerce,79961,454796,6,12.7,Capital démarrage,Non,Aucun,56,Urbaine,Oui,Oui,Oui
102,F,52,Marié(e),1,Aucun,Artisanat,267159,473737,12,9.5,Achat équipement,Oui,Aucun,30,Urbaine,Non,Non,Non
103,M,68,Marié(e),2,Secondaire,Artisanat,160082,177103,12,7.5,Capital démarrage,Oui,Oui,74,Rurale,Oui,Oui,Non
104,M,66,Marié(e),1,Primaire,Services,219202,546894,24,13.5,Capital démarrage,Non,Aucun,47,Urbaine,Non,Non,Non
105,F,49,Marié(e),3,Primaire,Commerce,243140,103504,6,16.8,Achat équipement,Non,Non,63,Urbaine,Oui,Non,Oui
106,M,24,Marié(e),1,Secondaire,Artisanat,26275,189486,18,10.4,Capital démarrage,Non,Aucun,41,Rurale,Oui,Non,Non
107,M,38,Marié(e),1,Primaire,Services,207275,414662,6,8.6,Achat équipement,Non,Non,68,Rurale,Oui,Oui,Oui
108,F,37,Marié(e),1,Aucun,Agriculture,164845,420542,18,8.2,Capital démarrage,Oui,Aucun,63,Urbaine,Oui,Oui,Non
109,M,43,Célibataire,1,Secondaire,Agriculture,34686,222328,12,4.8,Achat équipement,Non,Oui,42,Urbaine,Oui,Non,Non
110,M,21,Marié(e),1,Primaire,Artisanat,112048,435835,18,11.5,Urgence,Non,Oui,57,Urbaine,Oui,Non,Oui
111,M,63,Veuf/veuve,0,Primaire,Agriculture,152723,263361,12,17.8,Urgence,Oui,Aucun,66,Urbaine,Oui,Non,Non
112,M,69,Veuf/veuve,3,Primaire,Agriculture,230739,50096,12,15.5,Stock,Non,Oui,71,Urbaine,Oui,Non,Oui
113,F,39,Marié(e),0,Aucun,Agriculture,169425,139433,12,16.6,Capital démarrage,Non,Oui,88,Rurale,Oui,Non,Oui
114,F,32,Marié(e),2,Primaire,Agriculture,188887,535440,6,12.9,Stock,Non,Oui,83,Rurale,Non,Oui,Oui
115,F,57,Marié(e),5,Aucun,Agriculture,158632,172481,12,11.0,Achat équipement,Non,Oui,54,Rurale,Oui,Non,Oui
116,F,38,Marié(e),0,Supérieur,Agriculture,245274,112100,18,17.9,Urgence,Non,Oui,54,Rurale,Oui,Non,Oui
117,F,32,Célibataire,2,Aucun,Services,211261,425210,12,10.5,Achat équipement,Non,Non,43,Urbaine,Oui,Oui,Non
118,M,39,Marié(e),1,Primaire,Artisanat,189771,292388,18,16.9,Stock,Non,Oui,49,Rurale,Non,Oui,Non
119,F,69,Marié(e),1,Aucun,Artisanat,111412,488125,12,14.8,Achat équipement,Non,Oui,77,Rurale,Oui,Non,Oui
120,M,45,Divorcé(e),0,Aucun,Agriculture,187190,523794,12,9.0,Achat équipement,Non,Aucun,41,Rurale,Oui,Non,Non
121,F,31,Marié(e),2,Secondaire,Artisanat,346912,515293,12,11.3,Achat équipement,Non,Non,62,Rurale,Oui,Non,Oui
122,F,44,Marié(e),2,Secondaire,Artisanat,227716,222155,6,9.7,Achat équipement,Oui,Oui,60,Urbaine,Oui,Non,Non
123,M,58,Marié(e),0,Aucun,Commerce,135639,328050,12,6.3,Urgence,Non,Oui,53,Rurale,Oui,Non,Oui
124,M,57,Marié(e),1,Aucun,Agriculture,291147,407577,18,9.3,Achat équipement,Non,Aucun,45,Rurale,Oui,Non,Non
125,M,45,Marié(e),1,Aucun,Commerce,132996,227090,12,16.5,Achat équipement,Oui,Aucun,36,Urbaine,Oui,Non,Non
126,M,43,Célibataire,1,Secondaire,Artisanat,222858,72604,18,14.7,Urgence,Non,Oui,45,Urbaine,Oui,Non,Non
127,F,66,Marié(e),1,Primaire,Commerce,177228,322615,18,8.2,Achat équipement,Oui,Aucun,63,Urbaine,Oui,Non,Non
128,F,19,Veuf/veuve,0,Aucun,Artisanat,190927,57050,12,9.5,Achat équipement,Oui,Aucun,73,Rurale,Oui,Non,Non
129,M,42,Marié(e),1,Primaire,Commerce,193129,572855,18,12.8,Stock,Non,Aucun,89,Urbaine,Non,Non,Oui
130,M,20,Célibataire,1,Secondaire,Commerce,165145,488176,12,10.1,Urgence,Non,Oui,70,Urbaine,Oui,Non,Oui
131,M,25,Marié(e),1,Secondaire,Artisanat,156639,155605,12,11.3,Capital démarrage,Non,Oui,73,Rurale,Oui,Oui,Oui
132,M,61,Veuf/veuve,1,Supérieur,Agriculture,100989,208164,12,13.9,Achat équipement,Non,Oui,89,Urbaine,Non,Oui,Oui
133,M,50,Célibataire,0,Primaire,Commerce,112498,590561,6,10.8,Stock,Non,Oui,70,Urbaine,Oui,Oui,Oui
134,M,59,Marié(e),2,Aucun,Services,200037,255451,18,7.1,Urgence,Oui,Oui,79,Rurale,Oui,Oui,Non
135,F,69,Veuf/veuve,1,Aucun,Artisanat,139037,481047,18,11.5,Achat équipement,Non,Oui,59,Rurale,Oui,Non,Oui
136,M,52,Marié(e),1,Secondaire,Agriculture,125399,295748,12,9.3,Capital démarrage,Non,Aucun,75,Urbaine,Oui,Non,Oui
137,M,23,Divorcé(e),2,Supérieur,Agriculture,349639,525252,6,8.4,Achat équipement,Non,Oui,68,Urbaine,Non,Non,Oui
138,F,56,Marié(e),0,Primaire,Commerce,329360,437064,12,8.9,Stock,Oui,Oui,61,Rurale,Oui,Non,Non
139,M,69,Marié(e),2,Primaire,Artisanat,214849,62600,18,10.4,Urgence,Non,Aucun,88,Rurale,Oui,Non,Oui
140,F,40,Marié(e),0,Primaire,Commerce,223290,211914,12,16.5,Stock,Non,Oui,46,Rurale,Non,Oui,Non
141,F,42,Célibataire,1,Primaire,Commerce,131255,356895,12,14.4,Urgence,Oui,Oui,52,Urbaine,Oui,Oui,Non
142,M,67,Célibataire,2,Primaire,Agriculture,108885,559395,18,13.5,Capital démarrage,Oui,Non,82,Rurale,Non,Non,Non
143,M,60,Marié(e),2,Primaire,Artisanat,159579,106116,12,10.9,Achat équipement,Non,Aucun,79,Rurale,Oui,Oui,Oui
144,M,36,Célibataire,2,Aucun,Artisanat,180017,380639,24,4.5,Stock,Non,Aucun,65,Rurale,Oui,Oui,Oui
145,M,22,Marié(e),1,Primaire,Services,222784,216197,12,9.1,Capital démarrage,Non,Oui,70,Rurale,Oui,Oui,Oui
146,M,68,Veuf/veuve,2,Secondaire,Agriculture,70179,539130,24,15.5,Capital démarrage,Oui,Aucun,72,Rurale,Oui,Oui,Non
147,F,28,Veuf/veuve,3,Aucun,Artisanat,308834,470843,12,9.7,Achat équipement,Non,Oui,70,Urbaine,Oui,Oui,Oui
148,M,29,Marié(e),1,Aucun,Commerce,194881,253336,6,12.1,Stock,Non,Non,68,Urbaine,Oui,Non,Oui
149,M,27,Veuf/veuve,2,Primaire,Commerce,86958,141906,18,7.3,Achat équipement,Non,Oui,52,Rurale,Oui,Oui,Oui
150,M,25,Marié(e),1,Secondaire,Artisanat,189448,56323,18,16.9,Achat équipement,Non,Non,83,Urbaine,Oui,Oui,Oui
151,F,41,Marié(e),4,Secondaire,Agriculture,125852,391623,18,17.0,Urgence,Non,Oui,61,Rurale,Oui,Non,Oui
152,M,45,Célibataire,0,Aucun,Agriculture,121647,273368,12,6.5,Urgence,Non,Non,50,Urbaine,Oui,Oui,Oui
153,M,58,Marié(e),1,Primaire,Artisanat,116255,223116,24,14.3,Achat équipement,Non,Non,67,Rurale,Oui,Non,Oui
154,M,53,Marié(e),0,Primaire,Commerce,164610,592026,6,5.5,Urgence,Non,Oui,70,Urbaine,Oui,Oui,Oui
155,F,54,Marié(e),0,Secondaire,Agriculture,306162,306378,6,12.6,Stock,Oui,Oui,70,Rurale,Oui,Non,Non
156,M,38,Marié(e),3,Secondaire,Commerce,185559,462411,12,6.9,Urgence,Non,Aucun,79,Rurale,Non,Non,Oui
157,F,25,Célibataire,0,Secondaire,Commerce,221633,147576,18,6.5,Capital démarrage,Oui,Oui,59,Urbaine,Oui,Non,Non
158,F,26,Marié(e),3,Primaire,Services,236310,57400,18,4.6,Achat équipement,Non,Oui,64,Urbaine,Oui,Oui,Oui
159,M,64,Veuf/veuve,0,Supérieur,Agriculture,171314,279659,12,17.2,Achat équipement,Non,Non,52,Rurale,Oui,Oui,Oui
160,F,32,Marié(e),0,Supérieur,Artisanat,110338,416115,12,15.7,Stock,Non,Aucun,68,Urbaine,Oui,Non,Oui
161,M,65,Divorcé(e),3,Secondaire,Agriculture,84075,328629,6,5.5,Achat équipement,Oui,Oui,52,Urbaine,Oui,Non,Non
162,F,63,Veuf/veuve,2,Primaire,Agriculture,156752,539756,12,12.6,Urgence,Non,Oui,56,Urbaine,Oui,Oui,Oui
163,F,57,Divorcé(e),2,Primaire,Agriculture,248636,288688,12,7.6,Capital démarrage,Oui,Oui,79,Rurale,Oui,Non,Non
164,M,35,Divorcé(e),5,Primaire,Artisanat,236123,221051,18,8.1,Achat équipement,Oui,Oui,67,Urbaine,Oui,Non,Non
165,M,59,Veuf/veuve,1,Aucun,Agriculture,195382,553826,18,16.3,Urgence,Non,Oui,86,Rurale,Non,Non,Oui
166,F,37,Marié(e),1,Aucun,Artisanat,203332,273741,24,6.0,Capital démarrage,Non,Non,82,Rurale,Oui,Non,Oui
167,M,23,Célibataire,0,Secondaire,Commerce,171790,198306,6,12.6,Achat équipement,Oui,Aucun,68,Rurale,Oui,Non,Non
168,M,29,Marié(e),0,Secondaire,Services,151111,103713,12,9.9,Achat équipement,Oui,Oui,70,Urbaine,Oui,Non,Non
169,M,19,Marié(e),0,Supérieur,Artisanat,135708,486320,12,7.1,Achat équipement,Non,Aucun,61,Rurale,Oui,Non,Oui
170,F,24,Marié(e),4,Aucun,Artisanat,91712,503800,18,10.6,Capital démarrage,Non,Oui,80,Rurale,Oui,Non,Oui
171,F,33,Marié(e),2,Aucun,Artisanat,287827,68313,12,17.2,Achat équipement,Non,Oui,70,Rurale,Oui,Non,Oui
172,M,20,Divorcé(e),0,Secondaire,Commerce,190267,247255,24,15.1,Achat équipement,Oui,Oui,78,Rurale,Oui,Oui,Non
173,M,62,Veuf/veuve,2,Primaire,Artisanat,153452,462432,18,6.3,Urgence,Non,Oui,55,Urbaine,Oui,Non,Oui
174,M,20,Veuf/veuve,1,Aucun,Agriculture,289269,570510,6,16.0,Urgence,Non,Oui,44,Rurale,Oui,Oui,Non
175,F,44,Marié(e),0,Supérieur,Agriculture,300718,257800,6,17.2,Urgence,Non,Aucun,72,Rurale,Oui,Non,Oui
176,M,67,Célibataire,1,Secondaire,Commerce,344709,529629,18,8.2,Urgence,Non,Aucun,75,Rurale,Oui,Oui,Oui
177,F,60,Célibataire,2,Primaire,Commerce,165100,266546,18,9.0,Achat équipement,Non,Aucun,66,Urbaine,Oui,Non,Oui
178,M,57,Marié(e),2,Secondaire,Commerce,186313,148722,6,6.2,Capital démarrage,Non,Oui,73,Rurale,Oui,Oui,Oui
179,F,55,Célibataire,4,Secondaire,Commerce,219057,51895,6,9.2,Achat équipement,Oui,Oui,52,Urbaine,Oui,Non,Non
180,M,50,Célibataire,2,Secondaire,Agriculture,279731,231599,12,13.6,Stock,Non,Aucun,79,Urbaine,Oui,Non,Oui
181,M,45,Divorcé(e),0,Secondaire,Commerce,183721,258161,18,8.2,Capital démarrage,Oui,Oui,82,Rurale,Oui,Oui,Non
182,M,18,Marié(e),1,Aucun,Agriculture,120998,569814,6,4.6,Stock,Non,Aucun,80,Rurale,Oui,Non,Oui
183,F,25,Marié(e),0,Secondaire,Services,134797,163338,12,9.1,Achat équipement,Non,Aucun,66,Rurale,Oui,Non,Oui
184,F,54,Célibataire,2,Aucun,Services,250645,260226,12,10.6,Capital démarrage,Non,Aucun,82,Rurale,Non,Oui,Oui
185,M,49,Marié(e),3,Aucun,Services,217262,63834,24,12.1,Capital démarrage,Non,Oui,47,Urbaine,Non,Non,Non
186,F,65,Célibataire,4,Supérieur,Agriculture,169625,469946,12,13.7,Urgence,Non,Aucun,73,Rurale,Oui,Non,Oui
187,F,60,Divorcé(e),0,Primaire,Commerce,165679,553327,18,5.3,Achat équipement,Oui,Non,75,Urbaine,Oui,Oui,Non
188,F,54,Marié(e),1,Secondaire,Services,169628,180801,12,10.8,Stock,Non,Oui,72,Rurale,Oui,Non,Oui
189,M,21,Marié(e),2,Secondaire,Services,254342,285947,6,8.1,Capital démarrage,Non,Non,50,Urbaine,Oui,Non,Oui
190,M,47,Marié(e),1,Supérieur,Artisanat,132662,117161,12,17.3,Capital démarrage,Non,Oui,68,Urbaine,Oui,Non,Oui
191,M,23,Célibataire,1,Secondaire,Commerce,107195,301259,6,9.4,Urgence,Non,Oui,61,Rurale,Oui,Non,Oui
192,F,63,Marié(e),1,Primaire,Commerce,289008,123338,18,5.9,Capital démarrage,Non,Aucun,35,Urbaine,Oui,Non,Non
193,F,36,Marié(e),0,Primaire,Artisanat,181503,337841,12,5.1,Urgence,Non,Oui,47,Rurale,Oui,Non,Non
194,F,49,Marié(e),3,Aucun,Agriculture,175240,454042,6,8.1,Capital démarrage,Oui,Oui,82,Urbaine,Oui,Oui,Non
195,M,26,Célibataire,1,Primaire,Commerce,220259,354338,12,6.9,Capital démarrage,Non,Oui,59,Urbaine,Oui,Non,Oui
196,M,29,Marié(e),0,Primaire,Artisanat,120665,184870,18,13.3,Achat équipement,Non,Oui,80,Rurale,Oui,Oui,Oui
197,F,28,Marié(e),1,Primaire,Artisanat,225029,244587,12,15.9,Capital démarrage,Non,Oui,82,Rurale,Oui,Non,Oui
198,F,63,Veuf/veuve,1,Secondaire,Commerce,157036,401215,12,8.7,Urgence,Non,Aucun,73,Rurale,Oui,Non,Oui
